Bigram    Probability
---------------------------------------
<s> i    0.056777066518229884
<s> and    0.15799239261527043
<s> we    0.08516559977734485
<s> the    0.04054179422952037
<s> likewise    0.0002783189535207349
<s> thousands    0.00046386492253455816
<s> there    0.012338806939419245
<s> this    0.02022451062250672
<s> north    0.00018554596901382308
<s> they    0.02337879209574172
<s> it    0.04740699508303181
<s> tracer    9.277298450691154e-05
<s> our    0.008906206512663514
<s> your    0.0012988217830967618
<s> ''    0.00853511457463587
<s> even    0.002226551628165878
<s> so    0.033119955468967434
<s> iran    0.0003710919380276462
<s> you    0.01549308841265423
<s> invasion    9.277298450691154e-05
<s> but    0.049540773726690794
<s> indeed    0.0012060487985898504
<s> immigration    9.277298450691154e-05
<s> in    0.018832915854903053
<s> some    0.0037109193802764627
<s> others    0.0003710919380276462
<s> my    0.0029687355042211706
<s> most    0.0012060487985898504
<s> politics    0.0002783189535207349
<s> given    0.00018554596901382308
<s> now    0.02263660821968643
<s> president    0.003989238333797197
<s> on    0.003247054457741905
<s> u.s.    0.00018554596901382308
<s> turkish    9.277298450691154e-05
<s> together    0.002133778643658967
<s> trade    0.0003710919380276462
<s> for    0.010112255311253364
<s> never    0.0002783189535207349
<s> with    0.003061508488728082
<s> yes    0.0016699137211244088
<s> nobody    0.0007421838760552924
<s> whatever    9.277298450691154e-05
<s> that    0.0424900269041655
<s> if    0.008164022636608217
<s> look    0.001020502829576027
<s> when    0.008442341590128955
<s> whoever    9.277298450691154e-05
<s> all    0.004267557287317935
<s> yvonne    9.277298450691154e-05
<s> second    0.001020502829576027
<s> as    0.015400315428147321
<s> because    0.007792930698580574
<s> today    0.006308562946469986
<s> surely    0.00018554596901382308
<s> he    0.010761666202801745
<s> finally    0.0015771407366174976
<s> over    0.0025048705816866136
<s> more    0.0018554596901382313
<s> millions    0.0005566379070414694
<s> men    0.0002783189535207349
<s> history    0.00018554596901382308
<s> moreover    0.001484367752110585
<s> of    0.0025976435661935237
<s> many    0.0018554596901382313
<s> after    0.002133778643658967
<s> no    0.0038036923647833737
<s> let    0.006679654884497637
<s> first    0.0025976435661935237
<s> where    0.001113275814082939
<s> do    0.0016699137211244088
<s> she    0.00473142220985249
<s> here    0.0027831895352073473
<s> forty-three    9.277298450691154e-05
<s> government    0.0008349568605622044
<s> [    0.001020502829576027
<s> through    0.0016699137211244088
<s> what    0.005937471008442341
<s> while    0.0009277298450691156
<s> “    0.001484367752110585
<s> a    0.006123016977456165
<s> words    0.00018554596901382308
<s> their    0.0012988217830967618
<s> just    0.0018554596901382313
<s> something    9.277298450691154e-05
<s> an    0.0009277298450691156
<s> early    9.277298450691154e-05
<s> auto    9.277298450691154e-05
<s> imagine    0.0003710919380276462
<s> may    0.0013915947676036737
<s> small    0.0003710919380276462
<s> during    0.0005566379070414694
<s> right    0.0015771407366174976
<s> already    0.0015771407366174976
<s> provided    9.277298450691154e-05
<s> unfortunately    0.0006494108915483815
<s> tell    0.0002783189535207349
<s> these    0.0060302439929492534
<s> to    0.007514611745059837
<s> comprehensive    9.277298450691154e-05
<s> throughout    0.0003710919380276462
<s> american    0.0003710919380276462
<s> give    0.00046386492253455816
<s> taking    9.277298450691154e-05
<s> not    0.0016699137211244088
