Bigram    Probability
---------------------------------------
<s> and    0.09907099749101513
<s> we    0.09649420221061912
<s> so    0.04007594765036956
<s> i    0.13507832101444361
<s> but    0.055129856920051526
<s> no    0.00847630026446057
<s> they    0.0587916186342985
<s> you    0.05038312877195361
<s> ford    0.00047467281480979183
<s> how    0.004543296941750863
<s> ok.    0.0002034312063470535
<s> if    0.0071879026242625595
<s> it    0.045772021428087076
<s> folks    0.00047467281480979183
<s> the    0.024343934359530753
<s> that    0.017495083745846608
<s> believe    0.002848036888858752
<s> every    0.0014918288465450601
<s> ...    0.004814538550213602
<s> this    0.007594765036956672
<s> sergeant    0.0001356208042313691
<s> all    0.0027802264867430667
<s> here    0.0016274496507764284
<s> did    0.0011527768359666372
<s> just    0.0026446056825116964
<s> because    0.007255713026378249
<s> nothing    0.0007459144232725301
<s> immigration    0.0002034312063470535
<s> according    0.0002712416084627382
<s> who    0.0018308808571234827
<s> these    0.003933003322709702
<s> guys    0.00033905201057842275
<s> he    0.023258967925679795
<s> ''    0.036617617142469645
<s> some    0.0018308808571234827
<s> for    0.001966501661354851
<s> there    0.004678917745982235
<s> a    0.005357021767139079
<s> now    0.012273682782938906
<s> in    0.005153590560792024
<s> okay    0.008272869058113514
<s> probably    0.00033905201057842275
<s> by    0.0018986912592391678
<s> very    0.0018986912592391678
<s> oh    0.002848036888858752
<s> an    0.00040686241269410737
<s> what    0.006645419407337087
<s> think    0.0023055536719332748
<s> mexico    0.0007459144232725301
<s> nabisco    0.0002034312063470535
<s> miss    6.781040211568454e-05
<s> 25    0.00040686241269410737
<s> 51    0.0002034312063470535
<s> yes    0.0008137248253882149
<s> such    0.0002034312063470535
<s> woman    0.0001356208042313691
<s> everybody    0.0023733640740489594
<s> actually    0.0005424832169254765
<s> good    0.0008815352275038994
<s> …tell    6.781040211568454e-05
<s> as    0.0015596392486607444
<s> terrible    0.0001356208042313691
<s> well    0.004950159354444971
<s> gets    6.781040211568454e-05
<s> people    0.0029158472909744364
<s> same    0.0006781040211568455
<s> at    0.0005424832169254765
<s> first    0.0012883976401980059
<s> second    0.0002034312063470535
<s> with    0.0014918288465450601
<s> many    0.0014240184444293759
<s> radical    0.0002034312063470535
<s> leading    0.0002712416084627382
<s> great    0.0011527768359666372
<s> when    0.006713229809452768
<s> those    0.001084966433850953
<s> not    0.0037973825184783355
<s> georgia    0.0001356208042313691
<s> 93    0.0001356208042313691
<s> of    0.0006102936190411607
<s> nobody    0.0037973825184783355
<s> can    0.0021699328677019063
<s> somebody    0.001084966433850953
<s> –    0.0002712416084627382
<s> boom    0.0006102936190411607
<s> take    0.0014240184444293759
<s> ‘    0.00033905201057842275
<s> president    0.0005424832169254765
<s> already    0.0001356208042313691
<s> let    0.0023733640740489594
<s> our    0.005289211365023394
<s> one    0.0027802264867430667
<s> zero    0.0001356208042313691
<s> look    0.004000813724825389
<s> 20,000    0.0002034312063470535
<s> am    0.0002712416084627382
<s> or    0.0006102936190411607
<s> why    0.003458330507899913
<s> 50    0.0001356208042313691
<s> taking    6.781040211568454e-05
<s> israel    0.00040686241269410737
<s> yeah    0.0010171560317352685
<s> another    0.0002034312063470535
<s> even    0.0012205872380823214
<s> renegotiate    6.781040211568454e-05
<s> reduce    6.781040211568454e-05
<s> then    0.0029158472909744364
<s> right    0.006984471417915508
<s> [    0.0006781040211568455
<s> bob    0.0001356208042313691
<s> today    0.00040686241269410737
<s> their    0.00040686241269410737
<s> kanye    6.781040211568454e-05
<s> ``    0.0032548993015528572
<s> do    0.003458330507899913
<s> thousands    0.00033905201057842275
<s> after    0.0005424832169254765
<s> $    0.0013562080423136912
<s> don    0.0018308808571234827
<s> stay    6.781040211568454e-05
<s> on    0.0012883976401980059
<s> she    0.007391333830609613
<s> time    0.0002034312063470535
<s> slate    6.781040211568454e-05
<s> u.s.    6.781040211568454e-05
<s> millions    0.0002712416084627382
<s> five    0.0002034312063470535
<s> was    0.0002034312063470535
<s> someone    6.781040211568454e-05
<s> campaign    6.781040211568454e-05
<s> obama    0.00047467281480979183
<s> trump    0.0009493456296195838
<s> might    0.0002034312063470535
<s> iraq    6.781040211568454e-05
<s> to    0.0012205872380823214
<s> hey    0.0008137248253882149
<s> from    0.00033905201057842275
<s> containing    6.781040211568454e-05
<s> events    6.781040211568454e-05
<s> doctors    0.0001356208042313691
<s> my    0.0021699328677019063
<s> putin    0.0001356208042313691
<s> ok    0.0005424832169254765
<s> everything    0.00033905201057842275
<s> maybe    0.0014918288465450601
<s> thank    0.006916661015799826
<s> ayeyeye    0.0001356208042313691
<s> real    0.0001356208042313691
<s> said    0.0002712416084627382
<s> america    0.0010171560317352685
<s> jeb    0.00033905201057842275
<s> remember    0.003458330507899913
<s> paris    0.0001356208042313691
<s> taken    6.781040211568454e-05
<s> 100.    6.781040211568454e-05
<s> again    0.00033905201057842275
<s> americans    0.0002712416084627382
<s> discipline    6.781040211568454e-05
<s> isis    0.00040686241269410737
<s> enjoy    6.781040211568454e-05
<s> mr.    0.0001356208042313691
<s> won    0.0001356208042313691
<s> ah    6.781040211568454e-05
<s> go    0.0006102936190411607
<s> honestly    0.0006781040211568455
<s> 24    0.0001356208042313691
<s> whether    0.0001356208042313691
<s> called    6.781040211568454e-05
<s> murray    6.781040211568454e-05
<s> common    0.00040686241269410737
<s> mark    6.781040211568454e-05
<s> bye    6.781040211568454e-05
<s> number    0.0010171560317352685
<s> 12,000    6.781040211568454e-05
<s> elton    6.781040211568454e-05
<s> lots    0.0002034312063470535
<s> two    0.00040686241269410737
<s> beautiful    0.0001356208042313691
<s> made    0.0002712416084627382
<s> things    6.781040211568454e-05
<s> japan    0.00040686241269410737
<s> rush    0.0002034312063470535
<s> last    0.00033905201057842275
<s> raped    6.781040211568454e-05
<s> 66-years-old    6.781040211568454e-05
<s> beada    0.0002034312063470535
<s> ladies    0.0002712416084627382
<s> …i    0.00047467281480979183
<s> sometimes    0.0002712416084627382
<s> explain    0.0001356208042313691
<s> once    0.00033905201057842275
<s> nafta    0.00033905201057842275
<s> …a    6.781040211568454e-05
<s> iran    0.0009493456296195838
<s> corey    6.781040211568454e-05
<s> marches    6.781040211568454e-05
<s> started    0.0001356208042313691
<s> any    0.0002712416084627382
<s> macy    0.0001356208042313691
<s> wow    0.0006781040211568455
<s> mitt    6.781040211568454e-05
<s> hillary    0.0013562080423136912
<s> increase    6.781040211568454e-05
<s> say    0.0002034312063470535
<s> within    6.781040211568454e-05
<s> anybody    0.0002034312063470535
<s> incredible    0.0006102936190411607
<s> iowa    0.0002034312063470535
<s> billions    6.781040211568454e-05
<s> make    0.0002712416084627382
<s> each    0.0002712416084627382
<s> legitimately    6.781040211568454e-05
<s> vincente    6.781040211568454e-05
<s> ever    0.00033905201057842275
<s> bing    6.781040211568454e-05
<s> horrible    0.0002034312063470535
<s> too    0.0002712416084627382
<s> interestingly    0.0001356208042313691
<s> rely    6.781040211568454e-05
<s> scott    6.781040211568454e-05
<s> both    0.00033905201057842275
<s> 22    6.781040211568454e-05
<s> always    0.0002034312063470535
<s> be    0.0001356208042313691
<s> held    6.781040211568454e-05
<s> tiffany    6.781040211568454e-05
<s> melania    6.781040211568454e-05
<s> congratulation    6.781040211568454e-05
<s> would    0.0005424832169254765
<s> amazing    0.0002712416084627382
<s> totally    0.0001356208042313691
<s> altogether    0.0001356208042313691
<s> secondly    0.0002034312063470535
<s> world    0.0001356208042313691
<s> …you    6.781040211568454e-05
<s> 46    0.0001356208042313691
<s> puts    0.0001356208042313691
<s> finally    0.0002034312063470535
<s> since    0.0002712416084627382
<s> lives    6.781040211568454e-05
<s> hundreds    0.0001356208042313691
<s> really    0.00047467281480979183
<s> ready    6.781040211568454e-05
<s> 22kill    6.781040211568454e-05
<s> gravis    6.781040211568454e-05
<s> ppp    6.781040211568454e-05
<s> quinnipiac    6.781040211568454e-05
<s> frankly    0.0002034312063470535
<s> thirdly    6.781040211568454e-05
<s> everyone    0.0005424832169254765
<s> his    0.0006781040211568455
<s> wouldn    0.0006781040211568455
<s> seriously    6.781040211568454e-05
<s> other    0.0001356208042313691
<s> government    6.781040211568454e-05
<s> likewise    0.0002034312063470535
<s> most    0.0006102936190411607
<s> got    0.0005424832169254765
<s> manufacturing    6.781040211568454e-05
<s> took    0.0002712416084627382
<s> tonight    6.781040211568454e-05
<s> premiums    6.781040211568454e-05
<s> deductibles    6.781040211568454e-05
<s> nine    0.0001356208042313691
<s> tremendous    0.00040686241269410737
<s> originally    6.781040211568454e-05
<s> naturally    6.781040211568454e-05
<s> china    0.0007459144232725301
<s> 41    6.781040211568454e-05
<s> absolutely    0.0002034312063470535
<s> clinton    0.0002034312063470535
<s> four    0.0002712416084627382
<s> secret    6.781040211568454e-05
<s> 500    6.781040211568454e-05
<s> phil    6.781040211568454e-05
<s> where    0.0008137248253882149
<s> england    6.781040211568454e-05
<s> does    0.0007459144232725301
<s> jeff    0.0002034312063470535
<s> 1    0.0001356208042313691
<s> …    0.0001356208042313691
<s> something    0.0002034312063470535
<s> reported    6.781040211568454e-05
<s> young    0.0002034312063470535
<s> ask    0.00040686241269410737
<s> three    0.0002034312063470535
<s> (    0.00047467281480979183
<s> big    0.0006102936190411607
<s> cruz    0.0002034312063470535
<s> kasich    6.781040211568454e-05
<s> is    0.0007459144232725301
<s> meaning    6.781040211568454e-05
<s> oil    6.781040211568454e-05
<s> like    0.0010171560317352685
<s> —    0.0002034312063470535
<s> saudi    0.0002034312063470535
<s> total    0.0001356208042313691
<s> perhaps    0.0001356208042313691
<s> …well    0.0002712416084627382
<s> isn    0.0002712416084627382
<s> except    0.00040686241269410737
<s> specific    6.781040211568454e-05
<s> competitive    6.781040211568454e-05
<s> different    0.0001356208042313691
