Unigram  Probability
---------------------------------------
<s>    0.040399838085814516
i    0.009523702437708012
have    0.005610776288567061
confidence    0.00013492848790141223
you    0.006720188300200893
will    0.004823693442475489
choose    0.0001649125963239482
that    0.020096848670204795
path    0.00017240862342958246
;    0.0023687445653803488
embrace    6.371623039788912e-05
task    0.00010869239303169315
.    0.039590267158406044
</s>    0.0406397109531948
and    0.030317681628736763
to    0.027236814488321184
those    0.0019152349254894902
who    0.0040478546370423685
the    0.037596323948307406
of    0.02137866930526821
peace    0.0005996821684507209
,    0.04056849869569128
promise    0.00028859704356690933
united    0.0012930646757218678
states    0.0012855686486162338
america    0.0021026356031303415
support    0.0006296662768732569
every    0.0013680249467782073
step    0.0002023927318521182
way    0.0010269557134718601
we    0.016150190399088476
always    0.0005247218973943812
be    0.004632544751281819
a    0.015524272135768048
wind    6.371623039788912e-05
at    0.0024024766873557007
your    0.0018964948577254055
back    0.000682138466612695
as    0.005022338160774789
said    0.0008695391442535454
when    0.0020464153998380856
visited    4.122814908098711e-05
two    0.0007271146292464994
years    0.0013342928248028542
ago    0.00037480135528170083
am    0.0004010374501514199
convinced    5.6220203292255074e-05
this    0.006825132679679772
little    0.0003073371113309946
island    1.8740067764085034e-05
inspires    1.4992054211268016e-05
biggest    7.870828460915717e-05
things    0.00048349374831339377
--    0.00751101915984528
its    0.0009370033882042521
best    0.0003673053281760668
days    0.0004160295043626876
are    0.005637012383436779
yet    0.0003485652604119817
ahead    0.00019114869119366722
over    0.0011281520793979196
time    0.0017315822614014566
codes    3.74801355281701e-06
law    0.000539713951605649
sought    4.49761626338041e-05
control    0.00010494437947887613
violence    0.0002736049893556417
within    0.00023987286738028833
groups    0.00013492848790141223
so    0.003519384726095169
did    0.0005622020329225508
philosophers    3.74801355281701e-06
clerics    7.4960271056340205e-06
statesmen    3.74801355281701e-06
seek    0.0002061407454049354
regulate    3.74801355281701e-06
destructive    1.4992054211268016e-05
power    0.000539713951605649
war    0.0008395550358310099
concept    1.1244040658451023e-05
``    0.0005622020329225508
just    0.001967707115228928
''    0.0005097298431831131
emerged    2.998410842253603e-05
suggesting    1.4992054211268016e-05
is    0.008279361938172764
justified    2.998410842253603e-05
only    0.000865791130700729
certain    0.00011993643369014415
conditions    5.6220203292255074e-05
were    0.0012143563911127108
met    0.0001649125963239482
:    0.0016191418548169474
if    0.0018889988306197716
it    0.007810860244070642
waged    1.8740067764085034e-05
last    0.0008020749003028398
resort    1.4992054211268016e-05
or    0.002844742286588109
in    0.013942610416479262
self-defense    1.4992054211268016e-05
force    0.00019864471829930127
used    0.00014242451500704636
proportional    3.74801355281701e-06
whenever    1.4992054211268016e-05
possible    0.0002736049893556417
civilians    8.995232526760821e-05
spared    7.4960271056340205e-06
from    0.0031370873437078345
likewise    1.1244040658451023e-05
indians    1.8740067764085034e-05
vote    0.0002023927318521182
whole    0.00013492848790141223
world    0.001645377949686666
watches    7.4960271056340205e-06
thousands    0.00017990465053521642
political    0.00024362088093310535
parties    0.00016116458277113134
hundreds    7.870828460915717e-05
polling    7.4960271056340205e-06
centers    2.6236094869719025e-05
millions    0.0002736049893556417
candidates    1.8740067764085034e-05
poll    1.4992054211268016e-05
workers    0.0003560612875176156
700    7.4960271056340205e-06
million    0.0002511169080387394
voters    1.4992054211268016e-05
there    0.0022975323078768253
’    0.012398428832718657
s    0.005288447123024799
nothing    0.00022862882672183743
like    0.001495457407573986
on    0.005254715001049444
planet    8.245629816197409e-05
much    0.0006858864801655125
countries    0.0004872417618662107
