Unigram  Probability
---------------------------------------
<s>    0.06656375396642698
and    0.022072065972457307
we    0.01612298970421627
don    0.0036967325217673905
’    0.03445318600567825
t    0.00775004852243542
get    0.002496084352304477
reimbursement    4.5137149227929095e-06
.    0.06094417888754981
</s>    0.06657729511119537
lose    0.000194089741680095
on    0.002879750120741873
everything    0.00039269319828298275
so    0.006314687176987277
,    0.034994831796413405
re    0.007826781676122902
going    0.008282666883324985
to    0.022144285411221997
negotiate    9.930172830144402e-05
renegotiate    2.256857461396453e-05
trade    0.000803441256257137
deals    0.0003972069132057758
military    0.0004513714922792907
many    0.0015030670692900375
other    0.0011194013008526407
that    0.01156413763219543
s    0.010738127801324321
the    0.02394525766541637
costs    8.576058353306526e-05
down    0.0007086532428784865
for    0.004346707470649569
running    0.00025276803567640254
our    0.004197754878197404
country    0.00211241858386708
very    0.0028526678312051166
significantly    1.354114476837872e-05
i    0.02547540702424316
m    0.003195710165337376
not    0.0039675554171349665
showing    2.256857461396453e-05
a    0.014692142073690915
big    0.0010516955770107474
number    0.0006003240847314563
in    0.008323290317630119
but    0.00576401395640654
believe    0.0009253115591725458
if    0.0024148374836942058
become    0.00016249373722054456
president    0.0008214961159483086
those    0.0006680298085733503
numbers    0.00036109719382343257
are    0.004387330904954703
be    0.0046807223749362435
massive    0.0001895760267573021
no    0.0019318699869553646
they    0.012516531480904727
all    0.0032859844637932348
agree    0.00011284287306982275
just    0.0022117203121685245
didn    0.0009885035680916464
want    0.0030873810071903487
go    0.0015436905035951744
through    0.0003520697639778466
unfair    9.478801337865105e-05
questions    8.124686861027228e-05
because    0.003109949581804312
weren    4.9650864150722e-05
;    0.0005371320758123558
were    0.0008440646905622734
statements    6.319200891910074e-05
you    0.014222715721720446
see    0.001141969875466605
asking    5.4164579073514886e-05
–    0.005281046459667701
giving    7.221943876468644e-05
sarcastic    9.027429845585819e-06
disgusting    4.513714922792906e-05
way    0.0013496007619150793
woman    0.0002031171715256809
was    0.004044288570822442
television    0.00025728175059919564
this    0.004143590299123888
morning    9.930172830144402e-05
she    0.0016204236572826538
said    0.0031505730161094474
``    0.0032543884593336852
know    0.005416457907351486
mr.    0.00020763088644847383
trump    0.0011239150157754331
''    0.003064812432576383
telling    0.0001534663073749588
people    0.005425485337197072
actually    0.000618378944422628
called    0.00030693261474991763
her    0.0005642143653491133
always    0.0004513714922792907
against    0.0003701246236690183
guns    0.00014443887752937289
ford    0.0001038154432242369
leaving    0.000194089741680095
closing    5.4164579073514886e-05
plants    5.867829399630779e-05
over    0.0012277304589996707
michigan    3.159600445955037e-05
build    0.0004965086415072197
plant    9.930172830144402e-05
—    0.0020627677197163586
mexico    0.0006544886638049717
how    0.0011600247351577768
hell    0.00027533661029036723
does    0.00048748121166163386
help    0.00020763088644847383
us    0.0013315459022239075
?    0.005348752183509595
ok.    6.319200891910074e-05
who    0.0015030670692900375
think    0.00250059806722727
is    0.006341769466524036
good    0.0014579299200621083
thing    0.0009749624233232678
meantime    1.8054859691171638e-05
places    0.0002031171715256809
have    0.009149300148501224
place    0.0004739400668932553
spending    0.0001354114476837871
about    0.0026450369447566435
$    0.001606882512514274
2.5    7.67331536874794e-05
billion    0.00047845378181604826
then    0.0011329424456210197
sell    0.00011284287306982275
cars    0.0001038154432242369
trucks    2.256857461396453e-05
parts    4.513714922792906e-05
into    0.0007808726816431728
united    0.0005235909310439774
states    0.0006048377996542492
tax    0.0002933914699815387
nothing    0.00041526177289694734
citizen    5.867829399630779e-05
of    0.011794337093257865
could    0.0007492766771836225
take    0.0012728676082275996
best    0.00031596004459550345
person    0.00052810464596677
room    0.00023471317598523122
most    0.00042880291766532594
qualified    4.5137149227929095e-06
do    0.004310597751267225
it    0.01477338894230118
these    0.0016971568109701324
gon    4.9650864150722e-05
na    4.9650864150722e-05
lead    6.770572384189355e-05
back    0.0014037653409885945
make    0.0013766830514518364
great    0.0028481541162823244
again    0.000983989853168853
can    0.0025231666418412337
clue    6.319200891910074e-05
even    0.0012367578888452563
answer    9.478801337865105e-05
simple    0.00011284287306982275
terrible    0.00022568574613964512
folks    0.000568728080271906
press    0.0003701246236690183
dishonest    0.00012187030291540855
